Issue key,Issue id,Assignee,Status,Summary,Custom field (Type of Service),Component/s,Custom field (Offering Type),Priority,Custom field (Total amount (€) weighted),Custom field (Type Business Opportunity),Custom field (Country),Custom field (Market),Custom field (Market Manager),Custom field (DN Manager),Custom field (Operations Manager),Custom field (Renewal),Custom field (Código GEP),Custom field (Temporal Scope),Custom field (Receipt of application),Custom field (Delivery Commitment),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Total Amount (euros)),Custom field (Budg.Loc.Currency),Custom field (Margin),Custom field (Offer Code (NG)),Custom field (Offer Description (NG)),Custom field (Transversal offer),Updated,Created,Custom field (Proposal Due Date),Custom field (Observations),Resolved
OFBRA-2852,15775565,imedeiros,Abandoned,"BRB | Fábrica de Software - Alta Plataforma",DS - Application Modernization,BRB – Banco de Brasília S.A.,,Minor,"13,753,037",Proposal,Brazil,FS,amalheiros,imedeiros,fdosa,No,22DS01,1.0,17/05/24 11:59,23/05/24 11:59,gfelix,isaraujo,wholanda,,,,,,,,,,,,,1.3753037E7,7.5641706E7,30.0,,,No,31/12/24 21:03,20/05/24 12:15,23/08/24 11:59,"13/09/2024 - não há previsão ou estimativa de continuidade. Caso haja oportunidade, deveria ser tratada como nova oportunidade.
06/09/2024 - Aguardando retorno
30/08/2024 - Houve reunião com o cliente na semana anterior, retomada interação sobre o tema
16/08/2024 - Aguardando retorno
08/08/2024 - Aguardando retorno (KAM irá cobrar TI presencial)
02/08/2024 - Aguardando retorno
26/07/2024 - Aguardando retorno
19/07/2024 - Aguardando retorno (KAM de férias)
12/07/2024 - Aguardando retorno
05/07/2024 - Aguardando retorno
28/06/2024 - Aguardando retorno
21/06/2024 - Aguardando retorno. 
06/06/2024 - aguardando retorno
31/05/2024 - aguardando retorno
24/05/2024 - enviada
17/05/2024 - oferta recebida",13/09/24 18:12
OFBRA-2863,15819243,ceduardoc,Abandoned,EDP - Sustentação UI Dapataprotecion & Masking,Cyber,EDP,Sustentação UI Dapataprotecion & Masking,Minor,"24,029",Proposal,Brazil,Energy,bsoarest,ceduardoc,,No,22DS02,1.0,17/05/24 10:54,05/06/24 10:54,,,,,,,,,,,,,,,,24029.0,132164.0,27.47,,,No,02/09/24 08:59,24/05/24 11:00,05/08/24 09:35,"29/07 - Houve mudança na estrutura do cliente buscando novos sponsors para retomar a oportunidade
08/07 - Sem alteração no cenário, aguardamos apenas até 15/07
10/06 - Segue sem alteração no cenário
31/05 - Reunião realizada cliente gostou do formato de serviço proposto e está buscando aprovação interna
24/05 - Reunião remarcada para a semana de 31/05",02/09/24 08:59
OFBRA-2850,15774115,jpascoalini,Cancelled,"CPFL | Piloto Onesait Edge - ENCPFLGEDG",DS - Phygital,CPFL,   ,Minor,"129,918",Proposal,Brazil,Energy,vgrecci,jpascoalini,,No,22DS02,1.0,17/05/24 09:42,14/06/24 14:06,wholanda,,,,,,,,,,,,,,,129918.0,714552.0,27.9,,,Yes,31/12/24 21:03,20/05/24 09:41,14/08/24 17:47,"29/10 - Oferta atualizada para Cancelada pois segundo MOC de 24/09 ""Mudança de conjuntura no cliente (organização, orçamento, necessidade já coberta)""
25/10 - Aguardando avaliação do cliente.
19/07 - Aguardando posição do cliente.
14/06 - Proposta técnica e econômica elaborada e entregue ao mercado (Preço elaborado pelo modelo da ESP, revisado em conjunto).
07/06 - oferta em elaboração.
20/05 - Criação da oportunidade e jira",29/10/24 12:16
OFBRA-3020,16396381,priniesta,Won-End,SEFAZ/PB - GESTÃO DE APLICAÇÕES - [PBSEFAZ16],DS - Software Factory,Sefaz Paraíba,,Minor,"2,561,992",Proposal,Brazil,PA,rrodrigues,priniesta,,No,22DS05_46,3.0,16/05/24 09:40,24/05/24 18:00,,,,,,,,,,,,,,,,2561992.0,1.4090958E7,23.37,,,No,06/08/24 22:04,01/08/24 09:54,24/11/24 18:00,"06/08: Contrato Assinado.
02/08: Aguardando a assinatura do Contrato.
29/07: Fomos Declarados vencedores neste Pregão. Aguardando a assinatura do Contrato.
26/07: Acompanhando o andamento do pregão.
19/07: Acompanhando o andamento do pregão.
12/07: Acompanhando o andamento do pregão.
05/07: Acompanhando o andamento do pregão.
28/06: Acompanhando o andamento do pregão.
21/06: Acompanhando o andamento do pregão.
14/06: Acompanhando o andamento do pregão.
07/06: Acompanhando o andamento do pregão.
31/05: Acompanhando o andamento do pregão.
24/05: Pregão realizado em 24/05. Ficamos em 5. lugar.
22/05: MDC enviado ao Mercado.
20/05: Oferta em fase de elaboração.
15/05: Oferta anunciada pelo Mercado. Proposta prevista para ser enviada ao cliente em 24/05",06/08/24 15:49
OFBRA-2788,15729101,mcarvalhos,Abandoned,EVINO - Alocação Técnica Projeto Varejo Fácil,GU - Workplace (WP),Evino,Ampliação do contrato master,Minor,"4,328.5",Presale,Brazil,Industry,laugusta,mcarvalhos,dbarul,No,22DS03,1.0,13/05/24 15:19,17/05/24 15:19,,,,,,,,,,,,,,,,17314.0,95226.0,25.0,,,No,06/06/24 22:04,14/05/24 15:24,14/08/24 15:19,"05/06/2024 - Informação recebida pelo Gerente de Operações que esse processo está ""congelado"" pelo cliente, com isso passando para ""abandonada"" no JIRA
03/06/2024 - Ainda aguardando retorno do cliente
27/05/2024 - Verificado com o gestor do serviço e continuamos aguardando o retorno do cliente
20/05/2024 - proposta enviado ao gestor do serviço Antônio de Maria que ficou de levar ao cliente
14/05/2024 - Elaboração de MdC para validar do preço a ser passado ao cliente para que o mesmo avalie seu budget",06/06/24 11:13
OFBRA-2787,15729029,priniesta,Lost,INMETRO - MANUTENÇÃO DE SOFTWARE,DS - Software Factory,INMETRO,,Minor,"2,197,691",Proposal,Brazil,PA,fdmatos,priniesta,,No,22DS05_76,2.0,13/05/24 14:38,23/05/24 10:00,,,,,,,,,,,,,,,,2197691.0,1.2087303E7,22.0,,,No,31/12/24 21:03,14/05/24 15:12,23/08/24 18:00,"28/06: Oferta Perdida.
21/06: Acompanhando o processo de habilitação do resultado do pregão.
14/06: Acompanhando o processo de habilitação do resultado do pregão.
07/06: Acompanhando o processo de habilitação do resultado do pregão.
31/05: Pregão realizado. Ficamos em 20. lugar. Acompanhando o processo de habilitação do resultado do pregão.
24/05: Pregão realizado. Ficamos em 20. lugar. Acompanhando o processo de habilitação do resultado do pregão.
22/05: MDC enviado ao Mercado.
17/05: Oferta em fase de validação.
14/05: Oferta em fase de entendimento.
13/05: Oferta anunciada pelo Mercado. Pregão previsto para o dia 23/05.",01/07/24 11:53
OFBRA-2780,15713693,agoncalvest,Abandoned,Heineken - NewRelic - [ICHEINOBSE],DIC - Presale,Heineken,Heineken - Relic,Minor,0,Proposal,Brazil,Industry,fpezolito,agoncalvest,mrlima,No,22DS03,0.0,13/05/24 09:54,30/06/24 09:54,ffelix,sbarbosa,,,,,,,,,,,,,,0.0,,,,,No,20/09/24 10:39,13/05/24 09:58,,"20/09 = Oportunidade dando como perdido devido a falta de retorno do cliente conforme alinhado com o Gerente da Operação MArcio Rocha.
30/08 = Felix e MArcio trabalhando nas atualizações da proposta.
15/08 = Felix e MArcio trabalhando nas atualizações da proposta.
12/08 = Felix e MArcio trabalhando nas atualizações da proposta.
12/07 => Aguardando retorno do KAM.
05/07 => Avaliando valores de mercado para apresentar proposta para o cliente, solicitado um novo status e cobrança junto ao KAM Cubo.
28/06 = Avaliando valores de mercado para apresentar proposta para o cliente, solicitado um novo status e cobrança junto ao KAM Cubo.
21/06 = Avaliando valores de mercado para apresentar proposta para o cliente, solicitado um novo status e cobrança junto ao KAM Cubo.
14/06 = Avaliando valores de mercado para apresentar proposta para o cliente, solicitado um novo status e cobrança junto ao KAM Cubo.
07/06 = Avaliando valores de mercado para apresentar proposta para o cliente, solicitado um novo status e cobrança junto ao KAM Cubo.
31/05 = Avaliando valores de mercado para apresentar proposta para o cliente
24/05 => Avaliando valores de mercado para apresentar proposta para o cliente
17/05 => Avaliando valores de mercado para apresentar proposta para o cliente
15/05 => Avaliando valores de mercado para apresentar proposta para o cliente
13/05 => Felipe ja enviado a proposta Anderson levantara mais detalhes para atualizar.",20/09/24 10:39
OFBRA-2872,15831116,epereirab,Won-End,"Telefonica | VIVO - AI CoE",IA,"Telefonica | VIVO","Telefonica | VIVO - AI CoE",Minor,"183,372",Proposal,Brazil,Telco,mamanoel,epereirab,cmartiniano,No,22DS04,1.0,13/05/24 04:00,20/05/24 13:00,,,,,,,,,,,,,,,,183372.0,1008546.0,22.0,,,No,24/10/24 11:57,27/05/24 22:31,20/07/24 13:00,"18/06/2024 - Oferta ganha, Squad iniciou em 12/06 no cliente.
03/06/2024 - Aguardando retorno, mas com alta probalidade de assinatura nos próximos dias segundo o KAM
20/05/2024 - Proposta Técnica e Comercial Entregues ao Cliente
13/05/2024 - Proposta Técnica em Elaboração, será utilizado as taxas do contrato atual.",24/10/24 11:57
OFBRA-2778,15688362,jrcaldas,Rejected,RFQ  BPO  TIM - Serviços Técnicos Especializados,BPO - BO,TIM,,Minor,,Proposal,Brazil,Telco,fabarreira,jrcaldas,,No,22DS04,3.0,10/05/24 15:48,23/05/24 15:48,,,,,,,,,,,,,,,,,,22.0,,,Yes,15/05/24 22:05,10/05/24 15:54,,"10/05 - Criação do JIRA para execução das atividades, teremos hj o workshop para analise se vai dar GO ou NOGO.
15/05 - Dado NOGO neste bid ",15/05/24 12:13
OFBRA-2864,15819248,ceduardoc,Abandoned,CEF - Pentest,Cyber,CEF - Caixa Economica Federal,CEF - Pentest,Minor,,Proposal,Brazil,FS,amalheiros,ceduardoc,,No,22DS01,1.0,10/05/24 11:01,05/06/24 11:01,,,,,,,,,,,,,,,,,,,,,No,10/06/24 10:17,24/05/24 11:03,,"10/06 - Após analise financeira identificamos que não atenderíamos o target do edital
31/05 - identificamos que após exercício com MdC não chegaríamos ao target solicitado em edital, aguardando decisão de NO GO por parte do mercado
24/05 - Oferta em preparação financeira",10/06/24 10:17
OFBRA-2784,15714303,holiveiram,Cancelled,"CPFL | Projeto Parcelamento - [ENCPFLPARC]",SGE - SAP ECC,CPFL,Projeto,Minor,"980,237",Proposal,Brazil,Energy,vgrecci,holiveiram,,No,22DS02,2.0,10/05/24 10:45,24/05/24 10:45,,,,,,,,,,,,,,,,980237.0,5391306.0,28.0,,,No,31/12/24 21:03,13/05/24 10:49,05/11/24 18:16,"17/09: JIRA atualizado segundo MOC, pois projeto foi congelado pela CPFL em decorrência da migração do SAP à versão S4, atualizado em 16/09
24/05: Proposta entregue ao cliente.
13/05: Proposta sendo trabalhada.",17/09/24 17:59
OFBRA-2783,15714088,holiveiram,Lost,"HIAE | Melhorias SAP iRPA",SGE - SAP BTP,Hospital Israelita Albert Einstein,Projeto,Minor,"40,479",Proposal,Brazil,PA,dcunham,holiveiram,,No,22DS06,0.2,10/05/24 10:40,31/05/24 10:40,,,,,,,,,,,,,,,,40479.0,222637.0,30.0,,,No,19/07/24 22:04,13/05/24 10:43,24/09/24 16:05,"19/07: Oferta perdida para outro fornecedor. 
11/06: Aguardando próximos passos pelo cliente. Estamos em shortlist.
24/05: Enviada proposta ao cliente.
13/05: Aguardando comunicação do mercado.",19/07/24 08:55
OFBRA-2782,15714071,holiveiram,Lost,"CPFL | Ratecard perfis SGE - [ENCPFLRCSS]",SGE - SAP ECC,CPFL,Ratecard,Minor,"272,727",Proposal,Brazil,Energy,vgrecci,holiveiram,rpiacente,No,22DS02,1.0,10/05/24 10:34,16/05/24 10:34,,,,,,,,,,,,,,,,272727.0,1500000.0,25.0,,,No,17/09/24 18:08,13/05/24 10:39,31/08/24 10:38,"17/09: JIRA atualizado pois oferta já fperdida desde 18/07
24/05 - MdC enviado ao KAM NO DIA 16/05 / Jira atualizado com o valor informado no MOC
13/05: Proposta sendo trabalhada.",17/09/24 18:08
OFBRA-2781,15714053,holiveiram,Abandoned,"Bauducco | Upgrade SAP S/4 Hana - [ICBAUUPS4]",SGE - SAP S4 Hana,Bauducco,Projeto,Minor,"1,053,920",Proposal,Brazil,Industry,fpezolito,holiveiram,,No,22DS03,0.2,10/05/24 10:16,14/06/24 10:16,,,,,,,,,,,,,,,,1053920.0,6323523.0,25.0,,,No,24/10/24 11:14,13/05/24 10:33,,"24/10: Cliente não retorna. 
19/07:  é necessário fazer o assessment com o cliente.
24/05: Aguardando KAM marcar reunião para entendimento da demanda.
10/05: Oferta recebida e sendo trabalhada.",24/10/24 11:14
OFBRA-2776,15686817,agoncalvest,Lost,Heineken - Gestão de Cloud Microsoft - [ICHEINGCLO],DIC - Infra,Heineken,Heineken - Gestão de Cloud Microsoft,Minor,"476,736",Proposal,Brazil,Industry,fpezolito,agoncalvest,mrlima,No,22DS03,1.0,10/05/24 09:18,28/06/24 09:18,,,,,,,,,,,,,,,,476736.0,2622051.0,30.0,,,No,19/09/24 11:42,10/05/24 09:22,19/08/24 10:40,"06/09 = Proposta perdida.
30/08 = Felix trabalhando com o MArcio os detalhes da proposta.
15/08 = Felix trabalhando com o MArcio os detalhes da proposta.
12/08 = Felix trabalhando com o MArcio os detalhes da proposta.
19/07 => Aguardando retorno do KAM.
12/07 => Aguardando retorno do KAM.
05/07 => Em negociação de valores.
28/06 => Em negociação de valores.
21/06 => Em negociação de valores.
14/06 => Proposta entregue, e efetuado a defesa técnica, aguardando retorno do cliente.
07/05 => Proposta entregue, e efetuado a defesa técnica, aguardando retorno do cliente.
24/05 => Aguardando cliente.
17/05 => Proposta Apresentada
15/05 => Proposta Apresentada
10/05 => Anderson Irá alinhar o tema junto com o MArcio na semana que vem .",19/09/24 11:42
OFBRA-2779,15713353,jpascoalini,Cancelled,"CPFL | Automação de Subestações - ENCPFLPDSU",DS - Phygital,CPFL,   ,Minor,"773,257",Proposal,Brazil,Energy,vgrecci,jpascoalini,,No,22DS02,1.0,10/05/24 09:11,18/06/24 09:14,wholanda,,,,,,,,,,,,,,,773257.0,4252916.0,30.0,,,Yes,31/12/24 21:03,13/05/24 09:11,,"29/10/2024 - Oferta cancelada segundo MOC de 18/10 ""Mudança de conjuntura no cliente (organização, orçamento, necessidade já coberta)""
25/10/2024 - Aguardando avaliação do cliente.
19/07/2024 - Aguardando retorno cliente.
05/07/2024 - Aguardando posicionamento do cliente.
18/06/2024 - Proposta elaborada e entregue a mercado. Utilizado MDC da ESP, em processo de conversão ao MDC local.
14/06/2024 - Em elaboração
17/05/2024 - Em elaboração. Envio das duvidas em 17/05
13/05 - Criação da oportunidade e jira",29/10/24 12:26
OFBRA-2871,15831106,epereirab,Cancelled,"Grupo Bimbo |  Piloto AI Vision Monitoring ",IA,Grupo Bimbo,"Grupo Bimbo |  Piloto AI Vision Monitoring ",Minor,"181,818",Presale,Brazil,Industry,laugusta,epereirab,jborba,No,22DS03,0.5,10/05/24 09:00,15/06/24 14:12,,,,,,,,,,,,,,,,181818.0,1000000.0,30.0,,,No,09/09/24 14:18,27/05/24 21:02,07/06/24 20:52,"09/09 - Oferta cancelada por despriorização do cliente
18/06/2024 - Proposta Tecnica e Comercial em Elaboração
03/06/2024 - Proposta Tecnica e Comercial em elaboração
27/05/2024 - Validação da perspectiva de negócios com o Cliente no dia 28/05
10/05/2024 - Estudo de Proposta de Piloto",09/09/24 14:18
OFBRA-2789,15733812,mcarvalhos,Rejected,EDP - Global Field Services - Oferta Brasil - EN_FSGLEDP,GU - Workplace (WP),EDP,RFP,Critical,"1,405,835.75",Proposal,Brazil,Energy,bsoarest,mcarvalhos,dbarul,No,22DS02,3.0,09/05/24 13:24,17/06/24 05:00,,,,,,,,,,,,,,,,5623343.0,3.0928386E7,23.0,,,No,31/12/24 21:03,15/05/24 13:29,08/11/24 17:48,"11/09 - Oferta reaberta para ajuste do status conforme o MOC. MOC encerrado como rejeitada a elaboração da oferta. 
14/08/2024 - Recebemos a informação que o cliente não seguirá com a Minsait para o Short List
26/07/2024 - Pedro Cifuentes solicitou informações e informou que devemos enviar para 5 anos prevendo um preço fixo e irreajustável
19/07/2024 - Cliente pediu ajustes na proposta técnica e econômica, passando de 4 para 3 meses de transição e confirmação de alguns pontos. Por parte do Brasil não há nada a ser adicionado ou esclarecido
12/07/2024 - Houve uma reunião de alinhamento para responder ao cliente com Margarida Sousa e Pedro Cifuentes, com isso seguimos aguardando o retorno do cliente
10/07/2024 - Realizado a defesa técnica da proposta e enviado o retorno de alguns questionamentos. Aguardando os próximos passos
05/07/2024 - Houve essa semana uma reunião de alinhamento com a equipe de Portugal e GWA para definir como será a apresentação de defesa técnica na próxima semana
28/06/2024 - Recebido a informação da Bruna (mercado) que a equipe de Portugal foi chamada para uma defesa técnica e deverá ocorrer uma reunião de alinhamento na próxima semana com eles para entender como será esse processo
24/05/2024 - Enviado a proposta técnica revisada e em inglês no formato solicitado pela equipe de Portugal
21/06/2024 - Em retorno a consulta feita à equipe de Portugal, o cliente ainda na fase de análise das propostas técnicas
14/06/2024 - Aguardando retorno de Portugal
13/06/2024 - Enviado o MdC no novo formato e um modelo bastante simplificado como proposta técnica
07/06/2024 - Enviado uma estimativa de valores em formato MdC, mas sem estar no formato oficial de PRICING, havendo pendências de custos a serem considerados
03/06/2024 - Recebemos o retorno dos questionamentos e novas localidades para analisar. Data de entrega para o dia 17/06
27/05/2024 - Reiniciado a leitura da RFP
20/05/2024 - Oferta sendo trabalhada. 
10/05/2024 - Início da leitura e envio de alguns questionamentos
14/05/2024 - Sequencia de leitura e envio de novos questionamentos
15/05/2024 - Reunião com Portugal e Espanha sobre os principais pontos de complexidade do projeto por geografia",11/09/24 19:40
OFBRA-2774,15680954,jpascoalini,FollowUp,"NEOENERGIA | Migração InGrid para CLOUD/AWS - EN_INGRAWS",DS - Application Modernization,NEONERGIA,Migração de Infraestrutura,Minor,"341,055.5",Proposal,Brazil,Energy,vgrecci,jpascoalini,,No,ENCODS_13,3.5,08/05/24 14:37,03/12/25 08:34,wholanda,,,,,,,,,,,,,,,1364222.0,8526389.0,35.0,,,Yes,26/12/25 11:46,09/05/24 14:37,01/01/26 12:07,"26/12/2025 - Aguardando posicionamento do cliente em relação a formalização da contratação do projeto, pois o cliente estava aguardando a chegada da infraestrutura para o segumento da contratação da Minsait, já que se trata de umsistema próprio Minsait e que depende de nossa consultoria o processo de migração.
05/12 - Aguardando a confirmação da contratação segundo informado em reunião pelo cliente.
03/12/2025 - Cliente retomou a oportunidade, em processo de validação da proposta comercial, prazos e demais atividades para a contratação.
28/10 - NoGo conforme MOC (Rejeitada a elaboração da proposta). 
24/10/2025 - Aguardando posição do cliente.
03/10/2025 - Em processo de atualização de MDC.
24/09/2025 - Após reunião com o cliente, daremos novo seguimento, agora olhando para o cenário onprimise.
19/09/2025 - Aguardando posicioanento do cliente.
13/08/2025 - MDC atualizado em relação ao serviços Clous/On-premises e também da operação em migrar a solução. Adicionados novos custos de assessment.
08/08/205 - Propota comercial em processo de atualização.
28/07/2025 - Proposta em elaboração e em processo de atualização do MDC, proposta a ser entregue ao mercado em 23/07.
16/07/2025 - revisão da proposta técnica e comercial.
10/07/2025 - Plano de implantação atualizado na proposta técnica de acordo ao solicitado pelo cliente.
16/06/2025 - Cliente requisitou atualização de atividades de migração de infraestrutura Cloud e On-Premise
13/06/2025 - Aguardando posicionamento do cliente.
06/06/2025 - 
1- Adicionado a proposta também suporte/manutenção da infraestrutura, independente se ela vai ser executada no projeto sendo On-Premise ou Cloud;
2- A PoC da solução para On-Premise (IBM) ocorreu e agora estamos aguardando a posição do cliente. A PoC da solução para ambiente Cloud ainda esta sendo aguardada a liberação pelo cliente para executarmos.
12/05/2025 - Valor atualizado com a v4 do MdC e considerando o cenário ONPREMISSE + Sup e Man + Bolsão de Horas
09/05/2025 - Aguardando execução da POC no cliente.
28/04/2025 - Realizado elaboração de proposta técnica de DIC (suporte e manutenção) somente, com atualização dos valores somente de DIC. Disponibilizado ao mercado.
25/04/2025 - Em processo de atualização dos custos da sustentação da infraestrutura para envio ao cliente.
11/04/2025 - Aguardando atualizações
28/03/2025 - Iniciado a execução da PoC On-Premises com IBM, aguardando disponibilização de ambiente Cloud para execução de PoC com AWS.
21/03/2025 - Em processo de definição e levantamento de POC.
25/02/2025 - Data do processo em definição com o cliente.
19/02/2025 - Cliente solicitou esforço e estimativa de POC para migração da solução para a AWS.
17/02/2025- Valor atualizado com a v2 do MdC e considerando o cenário ONPREMISSE + Sup e Man + Bolsão de Horas
14/02/2025 - Proposta técnica elaborada e disponibilizada ao mercado.
17/01/2025 - Minsait vai realizar reunião com AWS para questões de incentivos de contratação de serviços cloud.
27/12/2024 - Aguardando posicionamento do cliente.
19/12/2024 - Atualizado proposta técnica, criado MDC com serviços cloud e disponibilizado ao mercado.
13/12/2024 - Atualização de custos de serviços operacionais.
06/12/2024 - Aguardando validação do cliente.
29/11 - Aguardando análise do cliente.
01/11 - Proposta/estudo inicial de migração elaborado e disponibilizado ao mercado.
25/10 - Proposta em processo de atualização semanal através de reuniões com o cliente.
25/09 - Após reunião cliente, sera atualizado  a proposta conforme indicações do cliente.
20/09 - Aguardando retorno do cliente.
23/08 - Proposta entregue ao mercado, aguardando posicionamento de reunião com o cliente.
12/07 - Proposta em elaboração
14/06 - Aguardando posicionamento do mercado após realização de reunião com o cliente.
31/05 - Proposta em processo de análise técnica e elaboração.
09/05 - Proposta em elaboração.
09/04 - Criação da oportunidade e jira",
OFBRA-2773,15660052,agoncalvest,Lost,LACTALIS - Migração de DCs Físicos para IAAS (ICLACINFRA),DIC - Infra,lactalis,LACTALIS - Migração de DCs Físicos para IAAS,Minor,"84,938",Proposal,Brazil,Industry,sbarbosa,agoncalvest,cfelipef,No,INCODI_5,1.0,08/05/24 10:12,06/01/25 11:12,fpezolito,,,,,,,,,,,,,,,84938.0,530867.0,30.0,,,No,03/02/25 11:08,08/05/24 10:18,03/09/24 12:42,"reaberta para ajustar código GEP 28/01
28/01 => PRoposta sendo encerrada o cliente informou que seguirá com mão de obra própria.
03/01 => Liberado proposta e esforços.
27/12 - Analisado o Rtools e o projeto não se trata de uma promoção de servidor secundário para primario, mas sim de um migração de servidores de VM, solicitado uma nova call junto ao cliente para ajustar o escopo final para ajuste da proposta.
20/12 - Efetuado reunião técnica junto ao cliente e solicitado que execute o Rtools para formulação final da proposta.
13/12 - Anderson irá alinhar junto com o Felix no dia 13/12 alguns ponto para fechamento dos esforço
06/12 - Tivemos um alinhamento técnico, iniciado as atividades de preço e proposta.
04/12 - Time técnico trabalhando para ajustes no escopo.
01/11 - Reaberta para ajustar o weighting
28/06 => Em negociação de valores o cliente passou um target e time trabalhando para melhorar valores.
21/06 => Em negociação de valores o cliente passou um target e time trabalhando para melhorar valores.
14/06 => Resposta final do cliente prevista para o dia 16/06.
07/05 => Proposta entregue, e efetuado a defesa técnica, aguardando retorno do cliente.
31/05 => Proposta entregue.
29/05 => Proposta liberada para entrega.
24/05 => Proposta pronta, repassado os perfil aguardando validação felipe.
17/05 => Inicio dos kick-off interno.
10/05 => Aguardando divulgação da RFP.
08/05 => Aguardando divulgação da RFP.",03/02/25 11:08
OFBRA-2876,15848635,mcarvalhos,Rejected,TIM - SERVIÇOS TECNICOS ESPECIALIZADOS,DIC - Other,TIM,,Minor,,Proposal,Brazil,Telco,jrcaldas,mglattstein,,No,22DS04,0.0,08/05/24 10:01,22/05/24 09:41,,,,,,,,,,,,,,,,,,,,,No,28/05/24 22:05,28/05/24 09:49,,Oferta foi dado no go técnico. ,28/05/24 10:07
OFBRA-2772,15646510,holiveiram,Rejected,"RUMO | Migração Ariba Onda 3 - [IC_RUM_ON3]",SGE - SAP Ariba,RUMO LOGISTICA,Projeto,Minor,"311,875",Proposal,Brazil,Industry,jrsilveira,holiveiram,fssiqueira,No,22DS03,0.5,07/05/24 15:42,11/06/24 15:42,,,,,,,,,,,,,,,,311875.0,1715313.0,30.0,,,No,24/10/24 11:21,07/05/24 15:45,10/08/24 17:47,"24/10: No go. 
10/06: Entregue Preço para Especialista
24/05: Feita apresentação da solução ao cliente. E solicitado pelo cliente elaboração da proposta técnica e preço - em elaboração.
13/05: Marcando apresentação da solução junto com time da Espanha.
07/05: Oferta sendo trabalhada.",24/10/24 11:21
OFBRA-2777,15688098,priniesta,Rejected,TJ-PR - SERVIÇOS DE DESENVOLVIMENTO DE SISTEMAS,DS - Software Factory,TJ-PR,,Minor,"2,237,131",Proposal,Brazil,PA,lplourenco,priniesta,,No,22DS05_74,2.0,07/05/24 15:33,20/05/24 13:00,,,,,,,,,,,,,,,,2237131.0,1.2304222E7,22.0,,,No,31/12/24 21:03,10/05/24 14:40,20/08/24 18:00,"11/09: Reaberta para alinhar o status com o MOC. MOC foi colocado como rejeitada a elaboração da oferta. 
28/06: Oferta Perdida.
21/06: Acompanhando o processo de habilitação do resultado do pregão.
14/06: Acompanhando o processo de habilitação do resultado do pregão.
31/05: Pregão realizado. Ficamos em 24. lugar. Acompanhando o processo de habilitação do resultado do pregão.
24/05: Pregão realizado. Ficamos em 24. lugar. Acompanhando o processo de habilitação do resultado do pregão.
20/05: MDC enviado ao Mercado.
17/05: Oferta em fase de validação.
10/05: Oferta em fase de elaboração.
09/05: Oferta em fase de avaliação.
07/05: Oferta anunciada pelo Mercado. Pregão previsto para o dia 20/05.",11/09/24 10:19
